Feature,Score
year,0.5557009972595913
court_hearing_length,1.5192064053199406
utterances_number,0.7398062919618693
issue_area_Attorneys,0.07798638553515093
issue_area_Civil Rights,4.339958417238406
issue_area_Criminal Procedure,1.6438852535865716
issue_area_Due Process,0.45758145004007406
issue_area_Economic Activity,0.05299252906550015
issue_area_Federal Taxation,4.334066319065188
issue_area_Federalism,0.6133172093542937
issue_area_First Amendment,0.21842016263838104
issue_area_Interstate Relations,2.476854739375084
issue_area_Judicial Power,8.826369711363899
issue_area_Miscellaneous,8.826730320240136
issue_area_Privacy,0.9649868342045987
issue_area_Private Action,1.179216400787515
issue_area_Unions,0.8260222280197861
petcat_accused,6.720532418091717
petcat_agency,1.835859632135357
petcat_alien,0.6615743972024869
petcat_applicant,0.9372169693333687
petcat_attorney,0.6292952705134429
petcat_bar,1.2399431261613292
petcat_beneficiary,7.34602845667061
petcat_board,0.061124419884030855
petcat_boat,5.508038088070155
petcat_borough,0.6951938851004437
petcat_business,11.174298050097144
petcat_chattel,1.4751530265568822
petcat_citizenship,0.6615743972024869
petcat_city,0.6951938851004437
petcat_claimant,0.38348444113730484
petcat_commission,14.055269742839513
petcat_committee,1.475135413345101
petcat_compact,1.9289461645690666
petcat_company,5.5270604235431495
petcat_convicted,15.733483516153374
petcat_county,0.04668589355543931
petcat_crime,23.8485960410944
petcat_defendant,2.965084239440839
petcat_denaturalization,0.6615743972024869
petcat_department,8.67551308024159
petcat_designation,5.508038088070155
petcat_director,0.8398683393208487
petcat_district,0.15355288771765493
petcat_education,2.9157521444369703
petcat_employee,0.6252977933892852
petcat_employer,5.343027500591685
petcat_established,2.6264356239990887
petcat_estate,2.0925759678672127
petcat_ethnic,2.719919748252464
petcat_executor,8.180572051105777
petcat_federal,2.430626372474753
petcat_fee,1.4751530265568822
petcat_firm,1.5260256045634482
petcat_gas,1.161997280641292
petcat_generally,5.508038088070155
petcat_governed,5.508038088070155
petcat_government,0.8951209238206574
petcat_governmental,0.21282129993822987
petcat_health,0.04423787762801938
petcat_including,0.29032465085099973
petcat_indicted,6.720532418091717
petcat_injured,4.871586704660449
petcat_inmate,0.07083257746040955
petcat_institution,0.581267301025089
petcat_interest,2.064864736364891
petcat_interstate,4.992520043198562
petcat_investment,0.08304544560178988
petcat_job,0.6590430240556879
petcat_labor,0.5482339650990488
petcat_land,1.4751530265568822
petcat_landlord,1.4751530265568822
petcat_law,4.574243824150547
petcat_local,10.004396232069174
petcat_member,0.0199260620404976
petcat_national,0.1798751025176082
petcat_nature,0.6607437129163253
petcat_office,5.508038088070155
petcat_official,0.000719992304200371
petcat_one,0.46389538347012216
petcat_owner,4.45854739440664
petcat_ownership,0.6615743972024869
petcat_party,0.00417087449562777
petcat_penal,3.1618549095567317
petcat_person,1.4751530265568822
petcat_place,1.3404008107797154
petcat_political,0.07083257746040955
petcat_possession,17.881064088664647
petcat_power,5.508038088070155
petcat_prisoner,2.2043657484140406
petcat_racial,1.4751530265568822
petcat_railroad,0.7052025235615251
petcat_rather,0.07083257746040955
petcat_relation,2.719919748252464
petcat_revoked,0.23112445596352388
petcat_school,5.508038088070155
petcat_secretary,0.36567563153373167
petcat_service,0.6615743972024869
petcat_specific,10.663632241138796
petcat_state,7.971555248649258
petcat_student,2.517481613303029
petcat_subject,5.508038088070155
petcat_suspected,31.088138460917147
petcat_taxpayer,1.1453579318958018
petcat_town,0.5152573422294818
petcat_township,6.720532418091717
petcat_union,10.821842010776871
petcat_unit,0.6951938851004437
petcat_united,0.6951938851004437
petcat_used,1.9068897551919761
petcat_village,1.160257759865093
petcat_voter,39.3375199479517
petcat_well,5.508038088070155
rescat_accused,0.6951938851004437
rescat_agency,0.25307891688297735
rescat_applicant,1.4751530265568822
rescat_authority,24.125085390818878
rescat_bar,5.530503111124052
rescat_beneficiary,2.3626729432011415
rescat_board,0.021620125408624173
rescat_boat,0.44800633954116764
rescat_borough,0.3819010741072921
rescat_business,6.399153964762977
rescat_city,1.0180550479567638
rescat_claimant,7.754717551466263
rescat_commission,0.2904236791655203
rescat_compact,0.13221567476532922
rescat_company,0.027534988441726655
rescat_consumer,0.2904236791655203
rescat_convicted,0.44604863199559663
rescat_crime,1.0051495847665222
rescat_death,0.02878205159604773
rescat_department,0.4279419728409413
rescat_designation,3.7779876474256344
rescat_director,0.1334376274178807
rescat_district,13.668004625842947
rescat_education,0.03706992136765632
rescat_employee,39.153400513992025
rescat_employer,0.865669598761096
rescat_entity,20.131929902778495
rescat_established,7.754717551466263
rescat_estate,11.85150520854376
rescat_executor,0.5437796353097496
rescat_federal,0.2864222887466873
rescat_firm,0.10778121570713815
rescat_generally,6.196857282890446
rescat_governed,0.02445330351329689
rescat_government,0.4040154151645321
rescat_governmental,0.8561098159939438
rescat_health,0.3165487311628879
rescat_including,1.5595104645202993
rescat_indian,4.215852915059212
rescat_indicted,0.027534988441726655
rescat_injured,0.13367577526967103
rescat_inmate,7.754717551466263
rescat_institution,7.754717551466263
rescat_interstate,0.4262154256634246
rescat_investment,3.163444545210667
rescat_job,2.6120682752101763
rescat_labor,3.4204084726061623
rescat_law,2.0101209262127675
rescat_manufacturer,24.125085390818878
rescat_medical,0.07596235173957594
rescat_member,1.6751078680346716
rescat_nation,1.5476419599310751
rescat_nature,0.005881769776736111
rescat_office,0.2912344385114511
rescat_officer,0.3555346045573953
rescat_official,2.309114789163662
rescat_organization,0.24721200404905289
rescat_owner,0.027534988441726655
rescat_party,0.027534988441726655
rescat_penal,4.421078027909713
rescat_person,0.017884414951107062
rescat_physically,0.0826624003314818
rescat_place,0.30993643105861557
rescat_prisoner,1.733276526367916
rescat_railroad,2.2260364121478426
rescat_rather,7.754717551466263
rescat_school,0.027466052240238837
rescat_secretary,0.40905059629749085
rescat_service,0.699497605624704
rescat_specific,2.009903846412212
rescat_state,2.49175320225015
rescat_student,0.18478674497882425
rescat_subject,0.027534988441726655
rescat_suspected,2.299426407723992
rescat_town,1.6751078680346716
rescat_township,18.731553015387007
rescat_tribe,0.865669598761096
rescat_union,7.754717551466263
rescat_unit,0.027534988441726655
rescat_united,1.6751078680346716
rescat_used,8.555457981987445
rescat_village,7.754717551466263
rescat_voter,0.0039221496710757486
rescat_wrongful,0.08849935163649976
argument_year,15.660076350848238
argument_month,6.554270288496518
